	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"better"	0	0	1	0	0	0
"cire"	0	0	1	0	0	0
"daniel"	0	0	1	0	0	0
"depart"	0	0	1	0	0	0
"laboratori"	0	0	1	0	0	0
"mcgrath"	0	0	1	0	0	0
"order"	0	0	1	0	0	0
"perfect"	0	0	1	0	0	0
"stabil"	0	0	1	0	0	0
"stabl"	0	0	1	0	0	0
"student"	0	0	1	0	0	0
"colleagu"	0	0	1	0	0	0
"interact"	0	0	1	0	0	0
"agu"	0	0	1	0	0	0
"basal"	0	0	1	0	0	0
"base"	0	0	1	0	0	0
"long-exist"	0	0	1	0	0	0
"play"	0	0	1	0	0	0
"propag"	0	0	1	0	0	0
"relat"	0	0	1	0	0	0
"role"	0	0	1	0	0	0
"sutur"	0	0	1	0	0	0
"zone"	0	0	1	0	0	0
"featur"	0	0	1	0	0	0
"feet"	0	0	1	0	0	0
"futur"	0	0	1	0	0	0
"hundr"	0	0	1	0	0	0
"ice-shelf"	0	0	1	0	0	0
"length"	0	0	1	0	0	0
"map"	0	0	1	0	0	0
"radar"	0	0	1	0	0	0
"sever"	0	0	1	0	0	0
"yawn"	0	0	1	0	0	0
